Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch
23,kirulapone,8,per perch,"Residential, Other",9/21/2021,8.43,6,0.939433548,9,0.601617972,4,0.555210369,6,0.529896202,5,0.68379499,8.270892022,1.393859989,0.06226201,43,0.107440189,11,1.478613636,1,1.066322748,6,1.082209212,3,0.220060054,23,0.776471572,5," 3,625,000.00 "," 3,625,000.00 "
38,nawagamuwa,6.5,per perch,"Residential, Other",9/21/2021,21.50,0,11.25851302,0,2.338631674,0,9.131532805,0,6.323377067,0,5.374796464,4.330842323,8.553697374,0.085015366,1,4.003931522,0,8.587376475,0,10.70236429,0,4.041780413,0,0.078489009,1,0.196379228,1," 600,000.00 "," 600,000.00 "
16,mount lavinia,11.5,per perch,"Commercial, Residential, Other",9/21/2021,12.89,0,2.727171086,5,0.191582432,2,0.581298364,0,2.842966318,0,2.847591288,12.64244388,0.528389071,0.028453853,12,0.323762423,5,3.90721302,0,4.077519439,0,1.188857545,2,0.113299872,20,1.052875673,5," 3,000,000.00 "," 3,000,000.00 "
45,ethulkotte,17.6,per perch,"Commercial, Residential, Other",9/21/2021,10.38,1,1.960729305,5,1.230613376,0,2.547426782,1,1.265102565,0,2.238625345,6.877783599,3.104369608,0.312880087,19,0.860383279,3,2.942967642,0,2.355624357,0,1.198894568,3,0.597689536,17,1.345330372,1," 2,000,000.00 "," 2,000,000.00 "
10,thalawathugoda,12,total price,Residential,9/21/2021,14.19,0,3.947032227,1,1.741784529,0,3.685223074,0,2.039184201,0,4.333994379,4.620078445,3.239812649,0.047187666,14,0.311696409,1,4.725443891,0,0.346662018,1,2.60600085,0,0.207307327,9,1.832361316,1," 12,600,000.00 "," 1,050,000.00 "
2,makandana,8,per perch,"Commercial, Residential",9/21/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 882,500.00 "," 882,500.00 "
23,kirulapone,34,per perch,Residential,9/21/2021,8.43,6,0.939433548,9,0.601617972,4,0.555210369,6,0.529896202,5,0.68379499,8.270892022,1.393859989,0.06226201,43,0.107440189,11,1.478613636,1,1.066322748,6,1.082209212,3,0.220060054,23,0.776471572,5," 6,500,000.00 "," 6,500,000.00 "
12,nawala,18,per perch,Residential,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 5,500,000.00 "," 5,500,000.00 "
70,thalapathpitiya,30,per perch,"Commercial, Residential, Other",9/21/2021,12.98,0,2.37565132,0,2.162364683,0,2.273011767,0,3.052444414,0,2.043785258,6.936892334,0.970979431,0.592912586,15,1.370513019,2,3.344531792,0,2.265628981,0,3.101999152,0,0.753254352,9,1.514111406,2," 1,425,000.00 "," 1,425,000.00 "
12,nawala,12.5,per perch,Residential,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 "
35,kosgama,10,per perch,Residential,9/21/2021,34.52,0,22.24072435,1,1.070078472,0,15.25596031,0,19.55034687,0,10.86360423,17.54383842,0.032153225,0.022707491,1,6.838092622,0,7.7463536,0,7.599437457,0,15.48478379,0,6.08034501,0,6.910724352,0," 217,000.00 "," 217,000.00 "
91,halpita,10,per perch,Residential,9/20/2021,22.44,0,6.15635953,3,0.380815074,0,6.577443664,0,12.24654695,0,5.203382155,3.267675424,7.04024369,1.699276938,3,3.388333369,0,2.505330611,0,3.787661063,0,4.112501726,0,1.23338234,2,3.163384959,0," 760,000.00 "," 760,000.00 "
4,kesbewa,6.5,per perch,Residential,9/20/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,700,000.00 "," 5,700,000.00 "
1,ranala,6.9,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 625,000.00 "," 625,000.00 "
5,piliyandala,13,per perch,Residential,9/20/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 725,000.00 "," 725,000.00 "
1,ranala,9.6,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 450,000.00 "," 450,000.00 "
1,ranala,9.6,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 450,000.00 "," 450,000.00 "
4,kesbewa,6.5,total price,Residential,9/20/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,500,000.00 "," 846,153.85 "
2,makandana,9.5,per perch,"Commercial, Residential",9/20/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 897,500.00 "," 897,500.00 "
1,ranala,6.5,per perch,"Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 600,000.00 "," 600,000.00 "
1,ranala,6.5,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 600,000.00 "," 600,000.00 "
32,habarakada,9.6,total price,"Commercial, Residential, Other",9/20/2021,22.48,0,6.268750246,1,1.107369255,0,3.63687225,0,8.291870608,0,5.025437008,4.526230179,2.158402885,2.639915599,0,2.407205967,0,3.321398174,0,7.918713691,0,2.318428604,0,0.360470047,1,2.521308465,0," 4,200,000.00 "," 437,500.00 "
1,ranala,6.9,total price,"Commercial, Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 4,000,000.00 "," 579,710.14 "
60,hanwella,12.5,total price,"Commercial, Residential, Other",9/20/2021,32.72,0,18.38372613,0,2.962545701,0,10.79281451,0,17.42850704,0,5.980388514,15.53202167,1.009932711,1.089855937,1,3.879451704,0,11.48001108,0,7.282954014,0,11.23944307,0,3.205859997,0,3.378773687,0," 2,150,000.00 "," 172,000.00 "
14,kahathuduwa,67,per perch,"Commercial, Residential, Other",9/20/2021,24.82,0,6.507930948,1,1.74454569,0,6.616528036,0,13.66352112,0,5.090707489,0.409507119,6.811585774,0.031648336,2,6.398816771,0,1.163402046,1,6.806019692,0,6.468764411,0,3.055274365,0,5.118456884,0," 195,000.00 "," 195,000.00 "
1,ranala,6.9,total price,"Commercial, Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 4,200,000.00 "," 608,695.65 "
8,nugegoda,11.25,total price,Residential,9/20/2021,10.57,2,0.650935049,6,0.057182506,2,0.805928234,1,0.48894894,2,0.574608738,9.365425049,0.380556553,0.053768922,31,0.540329219,7,1.581158036,1,2.720707053,0,0.487678441,2,0.253841443,24,0.139402968,4," 39,375,000.00 "," 3,500,000.00 "
13,dehiwala,8,per perch,"Commercial, Residential",9/20/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 3,500,000.00 "," 3,500,000.00 "
1,ranala,6.5,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 625,000.00 "," 625,000.00 "
1,ranala,6.9,per perch,"Commercial, Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 590,000.00 "," 590,000.00 "
1,ranala,6.9,per perch,"Commercial, Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 590,000.00 "," 590,000.00 "
1,ranala,6.9,per perch,"Commercial, Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 590,000.00 "," 590,000.00 "
17,athurugiriya,6.77,per perch,Residential,9/20/2021,19.59,0,5.178703496,1,0.359088591,0,3.821033403,0,5.651112943,0,4.65088748,1.626447486,3.488327488,0.0702284,6,0.500564858,1,3.316285276,0,6.28108122,0,4.110603517,0,0.225418134,4,0.132466919,1," 625,000.00 "," 625,000.00 "
2,makandana,10,per perch,Residential,9/20/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 725,000.00 "," 725,000.00 "
2,makandana,6.5,per perch,"Commercial, Residential",9/20/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 890,000.00 "," 890,000.00 "
4,kesbewa,6.7,total price,"Commercial, Residential",9/20/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 6,000,000.00 "," 895,522.39 "
11,madapatha,6.5,per perch,"Commercial, Residential",9/20/2021,22.59,0,4.208843525,1,0.409900767,0,5.773967779,0,12.55411195,0,4.731446487,5.842113383,5.025225136,3.189759435,0,3.70997153,0,5.134437985,0,3.907407861,0,4.290938801,0,3.053364406,0,3.525063347,0," 875,000.00 "," 875,000.00 "
26,havelock town,20,per perch,"Residential, Other",9/20/2021,7.57,6,0.180829114,9,0.283602021,4,0.307009316,7,0.194328801,6,0.194328801,7.759564862,1.511477789,0.344641591,43,0.949674909,10,2.281728677,0,0.986541176,6,0.516100058,4,0.118453506,18,0.085681338,5," 6,000,000.00 "," 6,000,000.00 "
7,malabe,9,per perch,"Agricultural, Commercial, Residential, Other",9/20/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 1,800,000.00 "," 1,800,000.00 "
18,bope,10,per perch,Residential,9/20/2021,36.09,0,18.6561491,1,0.546812986,0,10.47845145,0,21.22411339,0,5.192048924,16.69440877,3.421132423,4.421975181,0,4.385422206,0,15.8576472,0,4.668702569,0,11.6310353,0,4.992931183,0,9.219189864,0," 250,000.00 "," 250,000.00 "
13,dehiwala,9.4,total price,Residential,9/20/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 27,000,000.00 "," 2,872,340.43 "
3,kaduwela,48.95,per perch,"Commercial, Residential",9/20/2021,17.66,0,10.99800654,2,0.686801718,0,10.30164488,0,3.09405539,0,2.766675534,1.341754436,9.982145833,0.351838973,8,0.25650097,5,4.96489541,0,8.245114297,0,0.271561131,1,0.22296895,5,0.044349224,1," 1,800,000.00 "," 1,800,000.00 "
2,makandana,8,total price,"Commercial, Residential",9/20/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 8,000,000.00 "," 1,000,000.00 "
20,pitakotte,20,per perch,"Commercial, Residential",9/20/2021,10.64,1,0.313629583,5,0.182244946,0,2.140726628,0,2.177044336,0,2.246210381,8.09204828,1.80277564,0.069620362,22,0.203343573,3,3.578480242,0,2.072452911,0,2.469709406,0,0.265138276,16,0.346100643,2," 2,600,000.00 "," 2,600,000.00 "
5,piliyandala,6.7,per perch,"Commercial, Residential",9/20/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 875,000.00 "," 875,000.00 "
54,bokundara,14.33,per perch,Residential,9/20/2021,17.05,0,4.859832172,1,1.981093141,0,3.009903707,0,6.881786648,0,3.288533063,7.422553915,3.42874365,0.209031029,5,1.085172837,2,2.072506763,0,1.994308746,1,1.612823443,1,0.224225553,7,0.102080252,2," 1,300,000.00 "," 1,300,000.00 "
71,maradana,212.84,per perch,Other,9/20/2021,4.65,4,0.394259913,33,0.26762578,8,0.359030538,0,2.051189878,2,1.31096963,3.666523287,0.237042731,0.319050688,71,0.338492568,16,0.863655259,5,0.671894105,3,0.170908518,6,0.127508492,16,0.527304778,8," 17,000,000.00 "," 17,000,000.00 "
40,bambalapitiya,13.8,per perch,"Commercial, Residential, Other",9/20/2021,5.42,6,0.338837817,4,0.584007324,8,0.547721891,5,0.401009929,6,0.274439339,6.485148777,0.987947003,0.216845753,46,0.279053024,8,1.939211051,1,0.364486823,3,1.056826334,3,0.248492837,16,0.813136894,5," 13,000,000.00 "," 13,000,000.00 "
60,hanwella,12.5,total price,"Commercial, Residential, Other",9/20/2021,32.72,0,18.38372613,0,2.962545701,0,10.79281451,0,17.42850704,0,5.980388514,15.53202167,1.009932711,1.089855937,1,3.879451704,0,11.48001108,0,7.282954014,0,11.23944307,0,3.205859997,0,3.378773687,0," 2,150,000.00 "," 172,000.00 "
7,malabe,16.8,per perch,Residential,9/20/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 1,050,000.00 "," 1,050,000.00 "
19,boralesgamuwa,30,per perch,Residential,9/20/2021,13.98,0,4.016690619,1,0.429338572,0,2.727912724,0,3.818288657,1,1.440497502,8.830429042,2.212403368,0.071858443,10,0.087264039,2,1.864090006,1,4.97374457,0,0.811285315,1,0.100746527,11,0.886448814,1," 1,500,000.00 "," 1,500,000.00 "
28,kottawa,20.9,per perch,Residential,9/20/2021,18.99,1,0.546227162,3,0.960137176,1,1.773600383,0,6.961135717,1,1.866050156,1.810057975,0.314617717,0.069482791,9,0.305627035,1,2.717128994,0,2.059573832,0,0.52723835,1,0.265588994,5,0.215824615,5," 1,100,000.00 "," 1,100,000.00 "
