Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch,latitude,longitude,bakery_count,bakery_mdist,bank_count,bank_mdist,bar_count,bar_mdist,bus_station_count,bus_station_mdist,clothing_store_count,clothing_store_mdist,doctor_count,doctor_mdist,gas_station_count,gas_station_mdist,gym_count,gym_mdist,hospital_count,hospital_mdist,university_count,university_mdist,train_station_count,train_station_mdist,supermarket_count,supermarket_mdist,store_count,store_mdist,school_count,school_mdist,restaurant_count,restaurant_mdist,police_count,police_mdist,post_office_count,post_office_mdist,pharmacy_count,pharmacy_mdist,movie_theater_count,movie_theater_mdist,library_count,library_mdist
12,nawala,18.0,per perch,Residential,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 5,500,000.00 "," 5,500,000.00 ",6.9001049745466485,79.88457860871911,17,1128,8,1720,2,1256,1,1865,20,2040,9,1135,2,726,9,1398,18,1743,8,2774,1,1615,9,2284,20,2112,20,1274,20,1754,1,1155,0,0,11,1939,1,1581,2,1464
12,nawala,12.5,per perch,Residential,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 ",6.899573392469005,79.89104388735194,20,435,3,566,3,2724,2,954,20,201,9,673,1,1337,9,523,9,673,10,575,0,0,6,425,20,352,20,270,20,476,0,0,1,842,9,472,1,398,3,515
4,kesbewa,6.5,per perch,Residential,9/20/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,700,000.00 "," 5,700,000.00 ",6.7987495378486456,79.95419747974954,11,659,2,1594,2,629,0,0,12,612,2,1384,0,0,3,283,3,1343,1,1309,0,0,3,587,20,586,5,1065,19,673,0,0,0,0,3,895,0,0,0,0
1,ranala,6.9,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 625,000.00 "," 625,000.00 ",6.91666969442381,80.0223985121358,6,945,2,684,0,0,0,0,8,823,1,846,1,1247,1,1402,4,945,0,0,0,0,1,1266,20,103,5,545,12,932,0,0,1,1194,3,1269,1,772,0,0
5,piliyandala,13.0,per perch,Residential,9/20/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 725,000.00 "," 725,000.00 ",6.820885451214212,79.90852950112553,20,524,2,1579,0,0,6,2862,15,663,3,1467,2,1892,3,826,6,762,4,723,0,0,2,1573,20,661,9,3216,20,588,0,0,0,0,7,715,1,927,1,1646
1,ranala,9.6,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 450,000.00 "," 450,000.00 ",6.922242120978898,80.02864695021456,2,1586,1,915,0,0,0,0,4,531,1,920,1,1065,1,910,3,989,0,0,0,0,1,1046,20,379,2,1463,7,317,0,0,1,1463,1,1043,0,0,0,0
1,ranala,9.6,per perch,Residential,9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 450,000.00 "," 450,000.00 ",6.906866463052855,80.03660471817908,6,21,0,0,0,0,0,0,3,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,6,509,3,766,0,0,1,1240,0,0,0,0,0,0
4,kesbewa,6.5,total price,Residential,9/20/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,500,000.00 "," 846,153.85 ",6.793594059514037,79.95469399544734,11,1163,0,0,2,992,1,1450,11,770,2,1414,0,0,3,537,2,1200,1,1372,0,0,3,651,20,249,9,758,17,189,0,0,0,0,3,1255,0,0,0,0
2,makandana,9.5,per perch,"Commercial, Residential",9/20/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 897,500.00 "," 897,500.00 ",6.768427946643886,79.9556147412354,3,880,0,0,0,0,10,257,1,1646,1,693,0,0,0,0,0,0,1,2258,0,0,1,1569,20,407,3,719,7,809,0,0,0,0,1,1609,0,0,0,0
1,ranala,6.5,per perch,"Residential, Other",9/20/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 600,000.00 "," 600,000.00 ",6.924536355831947,80.02505854245715,6,891,2,817,1,13256,0,0,6,199,1,1130,1,733,1,578,4,577,0,0,0,0,1,715,20,108,5,12415,11,276,1,1065,1,786,3,711,0,0,0,0
