Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch,latitude,longitude,bakery_count,bakery_mdist,bank_count,bank_mdist,bar_count,bar_mdist,bus_station_count,bus_station_mdist,clothing_store_count,clothing_store_mdist,doctor_count,doctor_mdist,gas_station_count,gas_station_mdist,gym_count,gym_mdist,hospital_count,hospital_mdist,university_count,university_mdist,train_station_count,train_station_mdist,supermarket_count,supermarket_mdist,store_count,store_mdist,school_count,school_mdist,restaurant_count,restaurant_mdist,police_count,police_mdist,post_office_count,post_office_mdist,pharmacy_count,pharmacy_mdist,movie_theater_count,movie_theater_mdist,library_count,library_mdist
7,malabe,32.0,per perch,Residential,9/5/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 30,000,000.00 "," 30,000,000.00 ",6.919800415504213,79.94548173574734,20,144,1,1718,3,2233,0,0,20,241,5,922,2,362,0,0,15,787,2,1075,0,0,4,689,20,101,12,915,20,209,0,0,1,1533,4,794,1,2230,0,0
10,thalawathugoda,15.77,per perch,"Commercial, Residential",9/5/2021,14.19,0,3.947032227,1,1.741784529,0,3.685223074,0,2.039184201,0,4.333994379,4.620078445,3.239812649,0.047187666,14,0.311696409,1,4.725443891,0,0.346662018,1,2.60600085,0,0.207307327,9,1.832361316,1," 6,500,000.00 "," 6,500,000.00 ",6.878480166385815,79.9352860012547,20,112,7,173,7,2202,0,0,20,165,5,3,2,1888,13,790,19,3,5,2192,0,0,6,496,20,112,20,398,20,834,0,0,1,469,13,713,1,430,0,0
6,battaramulla,12.5,total price,Residential,9/5/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 18,750,000.00 "," 1,500,000.00 ",6.89828946735875,79.9161482999657,20,219,20,1049,6,1224,1,836,20,161,12,676,2,2488,7,550,12,676,9,983,0,0,7,728,20,968,20,127,20,275,4,497,5,1039,8,861,0,0,3,388
7,malabe,18.0,per perch,Residential,9/5/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 1,500,000.00 "," 1,500,000.00 ",6.897919963442289,79.94920379402795,20,755,14,1364,2,1210,0,0,20,566,9,1271,2,1379,6,1552,9,512,0,0,0,0,11,1338,20,755,20,712,20,619,1,1594,1,1054,8,1018,1,1131,1,1538
1,ranala,6.6,total price,"Commercial, Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 4,000,000.00 "," 606,060.61 ",6.916661978109001,80.0216080872935,6,896,2,634,0,0,0,0,8,769,1,796,1,1197,1,1352,4,896,0,0,0,0,1,1216,20,49,5,495,13,878,0,0,1,1144,3,1219,1,717,0,0
1,ranala,6.9,total price,"Commercial, Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 3,800,000.00 "," 550,724.64 ",6.91511198505792,80.0217261135958,2,1103,1,842,0,0,0,0,7,619,1,1004,1,1405,1,1560,4,1103,0,0,0,0,1,1423,20,154,6,703,8,728,0,0,1,1352,1,1427,1,567,0,0
1,ranala,6.5,per perch,"Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 630,000.00 "," 630,000.00 ",6.906445776168847,80.04130611753837,4,682,1,1519,0,0,0,0,4,1043,0,0,0,0,0,0,1,1189,0,0,0,0,3,1197,20,224,5,1485,6,3172,0,0,0,0,0,0,0,0,0,0
1,ranala,6.5,per perch,"Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 630,000.00 "," 630,000.00 ",6.9204395943959325,80.03590920470712,4,207,2,159,1,531,0,0,3,534,1,514,0,0,0,0,1,87,0,0,0,0,0,0,20,273,4,413,9,128,0,0,1,531,1,610,0,0,0,0
1,ranala,6.5,total price,"Commercial, Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 4,000,000.00 "," 615,384.62 ",6.921313108271247,80.02777905506672,2,1586,1,915,0,0,0,0,4,531,1,920,1,1065,1,910,3,909,0,0,0,0,1,1046,20,1639,2,1767,9,317,0,0,2,1463,1,1043,0,0,0,0
1,ranala,6.5,per perch,"Residential, Other",9/4/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 630,000.00 "," 630,000.00 ",6.914542475137526,80.02207927914634,2,1304,1,891,0,0,0,0,6,516,1,1054,0,0,1,1610,3,1153,0,0,0,0,0,0,20,199,6,753,5,625,0,0,0,0,0,0,1,465,0,0
